Facility Name,"1/1/2020
 Adult Dogs
 In Shelter","1/1/2020
 Adult Dogs
 In Foster Care","2020
 Adult Dogs
 Stray","2020
 Adult Dogs
 Owner Relinquished","2020
 Adult Dogs Transfer from another Colorado Organization","2020
 Adult Dogs
 Transfer from Out of State","2020
 Adult Dogs
 Other Intake","2020
 Adult Dogs
 Adoption","2020
 Adult Dogs
 Returned to Owner (RTO)","2020
 Adult Dogs
 Transfer to another Colorado Organization","2020
 Adult Dogs
 Transfer to Out of State","2020
 Adult Dogs
 Other Transfer","1/1/2020
 Juvenile Dogs
 In Shelter","1/1/2020
 Juvenile Dogs
 In Foster Care","2020
 Juvenile Dogs
 Stray","2020
 Juvenile Dogs
 Owner Relinquished","2020
 Juvenile Dogs
 Transfer from another Colorado Organization","2020
 Juvenile Dogs
 Transfer from Out of State","2020
 Juvenile Dogs
 Other Intake","2020
 Juvenile Dogs
 Adoption","2020
 Juvenile Dogs
 Returned to Owner (RTO)","2020
 Juvenile Dogs
 Transfer to another Colorado Organization","2020
 Juvenile Dogs
 Transfer to Out of State","2020
 Juvenile Dogs
 Other Transfer","1/1/2020
 Adult Cats
 In Shelter","1/1/2020
 Adult Cats
 In Foster Care","2020
 Adult Cats
 Stray","2020
 Adult Cats
 Owner Relinquished","2020
 Adult Cats
 Transfer from another Colorado Organization","2020
 Adult Cats
 Transfer from Out of State","2020
 Adult Cats
 Other Intake","2020
 Adult Cats
 Adoption","2020
 Adult Cats
 Returned to Owner (RTO)","2020
 Adult Cats
 Transfer to another Colorado Organization","2020
 Adult Cats
 Transfer to Out of State","2020
 Adult Cats
 Other Transfer","1/1/2020
 Juvenile Cats
 In Shelter","1/1/2020
 Juvenile Cats
 In Foster Care","2020
 Juvenile Cats
 Stray","2020
 Juvenile Cats
 Owner Relinquished","2020
 Juvenile Cats
 Transfer from another Colorado Organization","2020
 Juvenile Cats
 Transfer from Out of State","2020
 Juvenile Cats
 Other Intake","2020
 Juvenile Cats
 Adoption","2020
 Juvenile Cats
 Returned to Owner (RTO)","2020
 Juvenile Cats
 Transfer to another Colorado Organization","2020
 Juvenile Cats
 Transfer to Out of State","2020
 Juvenile Cats
 Other Transfer",
"2 Blondes All Breed Rescue, Inc.",78.00,47.00,0.00,0.00,0.00,379.00,40.00,498.00,0.00,0.00,1.00,0.00,0.00,56.00,0.00,0.00,0.00,1179.00,0.00,1157.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"2nd Chance Vizsla Rescue, Inc.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
4 Paws 4 Life Rescue,5.00,0.00,0.00,11.00,0.00,454.00,0.00,459.00,0.00,0.00,6.00,0.00,18.00,0.00,0.00,9.00,0.00,859.00,19.00,882.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,2.00,0.00,46.00,0.00,45.00,0.00,0.00,0.00,0.00,4.00,0.00,7.00,4.00,0.00,157.00,12.00,174.00,0.00,0.00,0.00,0.00,
9 Lives Rescue,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.00,17.00,4.00,6.00,0.00,7.00,47.00,1.00,0.00,0.00,3.00,0.00,0.00,12.00,8.00,0.00,0.00,8.00,11.00,0.00,0.00,0.00,0.00,
A Friend of Jack Rescue,0.00,0.00,0.00,1.00,0.00,181.00,0.00,175.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,101.00,32.00,108.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Acadiana Animal Aid,38.00,0.00,66.00,67.00,409.00,0.00,3.00,249.00,7.00,274.00,0.00,0.00,25.00,10.00,33.00,44.00,670.00,0.00,17.00,362.00,0.00,387.00,0.00,0.00,20.00,0.00,10.00,65.00,147.00,0.00,1.00,170.00,3.00,42.00,0.00,6.00,40.00,4.00,56.00,85.00,280.00,0.00,0.00,357.00,1.00,57.00,0.00,0.00,
Adoptable Animal Rescue Force,8.00,0.00,0.00,12.00,38.00,43.00,1.00,91.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,5.00,42.00,1.00,41.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Airedale Terrier Rescue & Adoption,0.00,4.00,0.00,9.00,1.00,3.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
All Aboard Animal Rescue,0.00,9.00,0.00,0.00,4.00,216.00,0.00,223.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,5.00,441.00,0.00,436.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
All Breed Rescue & Training,0.00,22.00,0.00,16.00,57.00,0.00,8.00,72.00,2.00,0.00,0.00,0.00,0.00,7.00,0.00,1.00,20.00,0.00,1.00,24.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
All Paws Matter,4.00,5.00,0.00,4.00,11.00,137.00,0.00,128.00,0.00,11.00,3.00,0.00,0.00,4.00,0.00,0.00,5.00,101.00,0.00,103.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
All Points West German Shorthaired Pointer Rescue,0.00,13.00,0.00,27.00,5.00,35.00,3.00,57.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,8.00,0.00,14.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Almost Home Adoptions,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,78.00,2.00,110.00,32.00,0.00,0.00,31.00,135.00,0.00,0.00,0.00,31.00,7.00,2.00,270.00,19.00,0.00,0.00,0.00,282.00,0.00,0.00,0.00,0.00,
Angels with Paws,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,5.00,62.00,52.00,12.00,10.00,0.00,145.00,1.00,1.00,0.00,0.00,15.00,7.00,93.00,18.00,11.00,6.00,16.00,147.00,0.00,0.00,0.00,0.00,
Animal Attraction LLC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Animal Friends Alliance,12.00,14.00,0.00,18.00,46.00,544.00,116.00,700.00,0.00,1.00,0.00,0.00,0.00,11.00,0.00,13.00,10.00,348.00,17.00,380.00,0.00,0.00,0.00,0.00,35.00,30.00,44.00,195.00,75.00,269.00,161.00,712.00,17.00,1.00,0.00,0.00,19.00,88.00,47.00,508.00,116.00,1155.00,41.00,1810.00,4.00,10.00,0.00,0.00,
Animal Kingdom,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Animal Rescue of the Rockies,0.00,15.00,6.00,4.00,15.00,266.00,0.00,300.00,0.00,0.00,0.00,0.00,0.00,4.00,1.00,0.00,2.00,90.00,1.00,93.00,0.00,0.00,0.00,0.00,0.00,118.00,180.00,6.00,111.00,487.00,0.00,885.00,0.00,0.00,2.00,0.00,0.00,45.00,418.00,0.00,262.00,565.00,0.00,1226.00,0.00,0.00,0.00,0.00,
Animal Rescue of the Rockies Cat Casita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,14,0,0,0,16,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,
Animal Rescue of the Rockies Cat Cottage,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,3.00,4.00,0.00,15.00,0.00,17.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00,0.00,0.00,0.00,
Animal Welfare & Protection Society,31.00,0.00,18.00,99.00,87.00,0.00,31.00,211.00,8.00,17.00,0.00,0.00,2.00,0.00,2.00,11.00,14.00,0.00,3.00,26.00,0.00,3.00,0.00,0.00,16.00,0.00,2.00,44.00,35.00,0.00,10.00,97.00,0.00,5.00,0.00,0.00,18.00,0.00,8.00,61.00,6.00,0.00,8.00,94.00,1.00,0.00,0.00,0.00,
Annies Orphans,67.00,0.00,4.00,4.00,1.00,8.00,0.00,24.00,0.00,0.00,0.00,0.00,1.00,0.00,4.00,4.00,0.00,26.00,8.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Ark-Valley Humane Society - Main Shelter,8.00,0.00,152.00,39.00,29.00,0.00,5.00,82.00,148.00,0.00,0.00,0.00,0.00,0.00,10.00,16.00,2.00,0.00,0.00,17.00,3.00,0.00,0.00,7.00,8.00,0.00,32.00,52.00,13.00,0.00,0.00,90.00,10.00,0.00,0.00,0.00,0.00,0.00,22.00,16.00,13.00,0.00,0.00,48.00,0.00,0.00,0.00,0.00,
Ark-Valley Humane Society - South,0.00,0.00,32.00,1.00,0.00,0.00,0.00,1.00,13.00,19.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,9.00,1.00,0.00,0.00,0.00,1.00,0.00,9.00,0.00,0.00,
Aspen Boarding Kennel and Animal Shelter,20.00,0.00,66.00,25.00,40.00,2.00,6.00,71.00,72.00,0.00,0.00,0.00,0.00,0.00,5.00,6.00,4.00,7.00,2.00,23.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,20.00,1.00,18.00,1.00,53.00,5.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,1.00,43.00,0.00,51.00,0.00,0.00,0.00,0.00,
Australian Shepherds Furever,0.00,4.00,0.00,3.00,5.00,1.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Avalon Aviary Bird Store,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bear Creek Animal Hospital,9.00,0.00,204.00,24.00,0.00,0.00,0.00,58.00,159.00,3.00,0.00,0.00,1.00,0.00,31.00,7.00,0.00,0.00,0.00,22.00,15.00,0.00,0.00,0.00,5.00,0.00,137.00,8.00,0.00,0.00,0.00,45.00,15.00,40.00,0.00,0.00,1.00,0.00,105.00,13.00,0.00,0.00,0.00,71.00,1.00,16.00,0.00,0.00,
Beasties,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Beaumont Pets Alive,14.00,5.00,12.00,40.00,0.00,0.00,99.00,131.00,0.00,0.00,22.00,11.00,0.00,4.00,23.00,6.00,0.00,0.00,96.00,52.00,0.00,0.00,62.00,13.00,5.00,0.00,18.00,23.00,0.00,0.00,36.00,55.00,0.00,0.00,4.00,15.00,5.00,0.00,32.00,54.00,0.00,0.00,113.00,193.00,0.00,0.00,0.00,0.00,
Bernese Mountain Dog Club of the Rockies,5.00,0.00,0.00,5.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Big Bones Canine Rescue Service Inc.,18.00,86.00,0.00,35.00,40.00,975.00,0.00,1027.00,2.00,1.00,0.00,0.00,2.00,49.00,0.00,23.00,123.00,743.00,0.00,856.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"Big Dogs Huge Paws, Inc",0.00,21.00,3.00,137.00,17.00,83.00,0.00,220.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,10.00,0.00,21.00,0.00,37.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Black Ops Rescue,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Blackhat Humane Society,0.00,9.00,20.00,0.00,0.00,0.00,0.00,26.00,0.00,0.00,0.00,0.00,0.00,1.00,46.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Blue Lion Rescue,98.00,0.00,0.00,12.00,10.00,4.00,0.00,19.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Bounce Animal Rescue,0.00,22.00,0.00,12.00,0.00,222.00,0.00,221.00,0.00,1.00,0.00,0.00,0.00,26.00,0.00,6.00,0.00,463.00,100.00,559.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.00,1.00,28.00,0.00,0.00,0.00,0.00,
Breeder Release Adoption Service,40.00,14.00,0.00,19.00,0.00,342.00,26.00,382.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,71.00,0.00,71.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Brighter Days Dog Rescue,0.00,3.00,0.00,2.00,0.00,140.00,0.00,141.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,1.00,6.00,242.00,0.00,252.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Broadview Kennels,15.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Cat Care Society,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.00,27.00,69.00,182.00,36.00,0.00,68.00,260.00,67.00,1.00,0.00,1.00,16.00,20.00,133.00,40.00,64.00,0.00,5.00,249.00,0.00,0.00,0.00,0.00,
Cats Alive!,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,0.00,94.00,0.00,0.00,163.00,113.00,6.00,110.00,0.00,46.00,0.00,0.00,0.00,134.00,0.00,0.00,96.00,65.00,3.00,132.00,0.00,0.00,
Cats League and Assistance of the Western Slope,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,307.00,70.00,121.00,79.00,9.00,0.00,0.00,359.00,0.00,5.00,0.00,9.00,0.00,1.00,228.00,39.00,3.00,0.00,0.00,209.00,0.00,60.00,0.00,1.00,
Cats League and Assistance of the Western Slope Adoption Center,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.00,0.00,0.00,0.00,69.00,0.00,0.00,56.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,154.00,0.00,0.00,154.00,0.00,0.00,0.00,0.00,
"Cavalier King Charles Spaniel Club Rescue, Inc",0.00,2.00,0.00,2.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Cavy Care Inc.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Cayleb's Kindred Senior Dog Rescue,0.00,6.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"Chihuahua & Small Dog Rescue, Inc.",0.00,31.00,0.00,0.00,10.00,44.00,0.00,71.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,20.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Circle 2 Rescue,0.00,14.00,0.00,0.00,0.00,193.00,0.00,197.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,43.00,0.00,46.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,27.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
City of Aurora Animal Shelter,31.00,2.00,676.00,112.00,19.00,0.00,158.00,248.00,594.00,78.00,5.00,0.00,2.00,4.00,12.00,7.00,0.00,0.00,58.00,30.00,47.00,2.00,0.00,0.00,25.00,3.00,166.00,128.00,51.00,0.00,88.00,303.00,44.00,57.00,0.00,0.00,1.00,4.00,69.00,3.00,6.00,0.00,43.00,94.00,1.00,5.00,0.00,0.00,
City of Brush Animal Shelter,0.00,0.00,42.00,0.00,0.00,0.00,124.00,22.00,118.00,20.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,12.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,46.00,10.00,0.00,0.00,8.00,1.00,8.00,50.00,0.00,5.00,0.00,0.00,19.00,3.00,0.00,0.00,1.00,1.00,1.00,17.00,0.00,1.00,
City of Burlington Animal Shelter,0.00,0.00,65.00,1.00,0.00,0.00,0.00,0.00,59.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
City Of Cortez Animal Shelter,8.00,0.00,263.00,99.00,0.00,0.00,0.00,51.00,204.00,47.00,0.00,0.00,0.00,0.00,32.00,64.00,0.00,0.00,0.00,14.00,7.00,70.00,0.00,0.00,21.00,0.00,129.00,192.00,0.00,0.00,0.00,74.00,20.00,49.00,0.00,0.00,0.00,0.00,35.00,236.00,0.00,0.00,0.00,102.00,4.00,80.00,0.00,0.00,
City of La Junta Animal Shelter,6.00,0.00,217.00,0.00,0.00,0.00,0.00,89.00,128.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00,10.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
City of Las Animas/Bent County Shelter,0.00,0.00,61.00,0.00,0.00,0.00,0.00,0.00,30.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
City of Montrose Animal Shelter,15.00,0.00,340.00,70.00,8.00,0.00,18.00,149.00,263.00,20.00,0.00,0.00,6.00,0.00,26.00,3.00,7.00,0.00,2.00,29.00,13.00,1.00,0.00,0.00,10.00,0.00,129.00,41.00,6.00,0.00,1.00,90.00,19.00,45.00,0.00,0.00,2.00,0.00,122.00,15.00,0.00,0.00,8.00,113.00,1.00,22.00,0.00,0.00,
City of Walsenburg Animal Shelter,2.00,0.00,30.00,12.00,0.00,0.00,0.00,1.00,12.00,29.00,0.00,0.00,0.00,0.00,7.00,5.00,0.00,0.00,0.00,0.00,5.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
City of Wray Animal Shelter,0.00,0.00,24.00,0.00,0.00,0.00,0.00,0.00,23.00,1.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,4.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
City of Yuma Animal Shelter,2.00,1.00,74.00,6.00,0.00,0.00,0.00,20.00,55.00,6.00,0.00,0.00,0.00,0.00,4.00,2.00,0.00,0.00,0.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Clearwater Dog Training,0.00,6.00,0.00,9.00,2.00,10.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Colorado Animal Rescue,16.00,0.00,72.00,94.00,68.00,38.00,10.00,212.00,66.00,7.00,0.00,0.00,1.00,0.00,6.00,6.00,27.00,27.00,3.00,53.00,11.00,6.00,0.00,0.00,16.00,0.00,108.00,70.00,42.00,53.00,5.00,233.00,42.00,8.00,0.00,0.00,6.00,7.00,63.00,15.00,43.00,10.00,1.00,127.00,12.00,0.00,0.00,0.00,
Colorado Animal Welfare League,0.00,0.00,0.00,2.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.00,0.00,0.00,0.00,44.00,0.00,0.00,0.00,0.00,
Colorado Basenji Rescue,0.00,6.00,0.00,4.00,1.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
